artikelnummer,hoeveelheid,naam,merk,prijs_per_stuk,totaal
126452,2,Pompoensoep 3L,,7.996,15.992
126437,1,Tomatencrèmesoep met balletjes 3L,,9.675,9.675
123007,6,Chips tortilla crispy salted 450g,,1.897,11.382
123008,1,Salsa dip medium tomaten-paprika-jalapeño 2.05kg,,8.597,8.597
130748,1,Dip cheese PET 2.05kg,,10.618,10.618
125826,1,Zure room 40% 1kg,Vermeersch,10.913,10.913
