artikelnummer,hoeveelheid,naam,merk,prijs_per_stuk,totaal
105867,1,Afwasmiddel citroen 5L,Econom,6.486,6.486
105663,1,Allesreiniger den 5L,Econom,6.958,6.958
120835,6,Vuilniszakken met trekbanden zwart 100L 10st,Boni Selection,1.577,9.462
127053,4,Keukenrol classic 3L 64V 6rollen,Boni Selection,4.033,16.132
105514,2,Aluminiumfolie 30m,Everyday,2.343,4.686
81442,1,Vershoudfolie 29cm 300m,Econom,9.875,9.875
108230,2,Spons inox x6,Boni Selection,2.36,4.72
110409,2,Handschoenen latex M 100st,Boni Selection,10.661,21.322
