artikelnummer,hoeveelheid,naam,merk,prijs_per_stuk,totaal
17827,5,Chips zout 200g,,1.121,5.605
17828,5,Chips paprika 200g,,1.121,5.605
129151,2,Celebration gezouten mix 1kg,,3.949,7.898
60547,3,Koekjes Krakelingen 450g,Boni Selection,2.541,7.623
103954,2,Cake frangipane ind. 58gx36,Econom,16.464,32.928
125751,4,Galia meloen 1st,,2.197,8.788
125742,3,Meloen Charentais 1st,,4.029,12.087
