artikelnummer,hoeveelheid,naam,merk,prijs_per_stuk,totaal
36240,1,Zout 2kg,,0.495,0.495
23415,6,Melk vol UHT met schroefdop 1L (voor de koffie),Everyday,0.918,5.508
